,ReviewText,RecommendedOrNot,ReviewLength,PlayHours,DatePosted
6275,Go back to monke !!,Recommended,15,48.8 hrs on record,Posted: September 29
6276,Product received for freemonke:],Recommended,29,73.6 hrs on record,Posted: September 29
6277,Monkey.,Recommended,7,47.9 hrs on record,Posted: September 29
6278,,Recommended,0,60.0 hrs on record,Posted: September 29
6279,"One of the most beautiful games in a long time. A good mixture of the storytelling of God of War and the core elements of the typical Souls games, but without the penalties. You can reskill at all altars at any time and if you die, you lose nothing but time and can try again and again. In addition, 90% of the bosses were definitely not difficult and anyone who has even a little experience with such games should be able to play through the game without any problems. If you like good story games, enjoy searching for secrets, want to kill endless bosses (107) and encounter a challenge here and there, then this game is definitely for you.In short:Graphics 5/5Story 4/5Difficulty 3/5Gameplay 5/5Secrets 5/5",Recommended,585,77.0 hrs on record,Posted: September 29
6280,yes absolutely recommend,Recommended,22,66.0 hrs on record,Posted: September 29
6281,its good,Recommended,7,26.3 hrs on record,Posted: September 29
6282,ok,Recommended,2,187.6 hrs on record,Posted: September 29
6283,monkey,Recommended,6,79.1 hrs on record,Posted: September 29
6284,"Just, WOW!!!!!!!!!!!!!!!!!!!!!!!!!!!",Recommended,35,118.4 hrs on record,Posted: September 29
6285,under promised over delivered,Recommended,26,61.6 hrs on record,Posted: September 29
6286,I was very surprised by the length of the game and as a souls like fan i am loving the combat. Of course the Chinese mythology theme is always awesome,Recommended,121,67.4 hrs on record,Posted: September 29
6287,nice game,Recommended,8,158.6 hrs on record,Posted: September 29
6288,"Product received for freeLoads far too long. Too many optimization issues and sound issues. Keyboard controls too wonky. Can't change certain keybinds. Boss fights nearly impossible to heal during. Dodging and heavy attack drastically needs work. I honestly expected much better than this. Other than this, game is good and playable and I do recommend it, but wait until it's discounted, fixed, or buy something else.",Recommended,352,3.6 hrs on record,Posted: September 29
6289,"1 Boss fight to Spoil it all Yellow wind sage, he summons a Sand storm so you can't see anything, and his Battle arena area is bigger then your Battle arena so he just goes where you can't Reach him and Starts casting range attacks and you can't see, and Also there is a Tornado in the Arena that you can't see and if it Hits you you get stunned and Killed by the Boss.Despite that I really like this Fighting game and if you can get past the fact this boss design is questionable, then I do actually recommend this game.",Recommended,420,16.7 hrs on record,Posted: September 29
6290,I was waiting for this game and I was not disappointed.,Recommended,45,82.6 hrs on record,Posted: September 29
6291,Changed my life playing as a victim,Recommended,29,51.8 hrs on record,Posted: September 29
6292,a very good title,Recommended,14,71.9 hrs on record,Posted: September 29
6293,This game is amazing. I would heavily recommend this game. Worth the price.,Recommended,63,69.7 hrs on record,Posted: September 29
6294,:fire:,Recommended,6,71.5 hrs on record,Posted: September 29
6295,Only souls like that doesnt feel boring or dragging,Recommended,43,16.2 hrs on record,Posted: September 29
6296,dont fight gold scorpion he will rawdog you with no mercy,Recommended,47,55.8 hrs on record,Posted: September 29
6297,GOAT game as always,Recommended,16,86.7 hrs on record,Posted: September 29
6298,:D,Recommended,2,36.0 hrs on record,Posted: September 29
6299,"Objective 7/10Subjective 7/10Black Myth: Wukong is an action game which takes its elements from 'souls games' and implements them reasonably.The developers of the game are not good at telling the story and pulling the player into it. The story itself is more of a fan fiction pastiche of the ""Journey to the West"" novel than anything else.Combat is functional and it does its job. However, despite its many elements, it doesn't offer a variety of builds that would make them viable in use. In the end, I changed my build only once to beat Erlang, but other than that every other boss and enemy can be beaten easily with the same technique.It terms of difficulty, Black Myth: Wukong is an easier game than Elden Ring, Sekiro, Dark Souls III and many other 'souls-like' titles. It is one of the easiest in the genre. The variety of enemies and bosses is stellar.To those who wonder if this game is 'souls-like' or not, the answer is Yes and No. It offers much less RPG elements in variety of weapons, armours and builds. It offers much less challenging encounters with bosses and basic enemies, and it is not punishing in any way or form, or at least I didn't notice it. However, those who played Dark Souls games will recognise that the devs of Black Myth: Wukong played those games as well and they borrowed the general sceleton of those games to make their own action game.NG+ offers difficulty very similar to the base game, if not easier, considering all the upgrades I gained in the first play through and my knowledge of how to beat all the bosses.The biggest drawbacks of this game are its biomes and invisible walls, walls which are placed in places where the design of the environment suggests that you can go through or jump through, only to find out you cannot because of that invisible wall.Environments are very monotone and boring to look at, excluding elements of architecture and sculptures which were made with very impressive detail and are good in general; other than that, every biome is basically the same:Chapter 1 - rocks with grass and trees.Chapter 2 - yellow rocks with sand.Chapter 3 - rocks with snow.Chapter 4 - rocks in caves.Chapter 5 - dark rocks with magma.Chapter 6 - huge uninteresting open area with rocks, grass, some trees and water.I was disappointed with those landscapes because to me, they don't look like the amazing landscapes which are so characteristic for Chinese land that I know of.I finished my first play through in 50h, and I played NG+ for about 17 hours until the end of Chapter 5 to get all remaining achievements I didn't get in my first play through.I experienced few sudden crashes without any apparent reason, and it has to be said that the game is not well optimised. With my 8GB RTX 3060ti and 16GB of RAM and SSD drive there is no way I would be able to play this game in solid 60FPS without using medium settings and Supersampling lowering my resolution down to 60%. But even then, the fans in my PC would work full power all the time.I recommend this game only to those with very strong PCs.",Recommended,2514,67.2 hrs on record,Posted: September 29
6300,Well done God of Monkey. GOTY!!!,Recommended,27,66.4 hrs on record,Posted: September 29
6301,Awesome gameplay & graphic.BTW ERLANG ANJING.,Recommended,40,93.6 hrs on record,Posted: September 29
6302,为何不拜？,Recommended,5,38.7 hrs on record,Posted: September 29
6303,Game is addictive and very demanding cause fights are very engaging. Graphic aspect for me it's not important but overall it's lovely. This game deserves GoTY award.,Recommended,139,8.8 hrs on record,Posted: September 29
6304,Game of the Year!,Recommended,14,49.2 hrs on record,Posted: September 29
6305,"best game of the century , fk off IGN",Recommended,29,172.9 hrs on record,Posted: September 29
6306,y es,Recommended,3,51.7 hrs on record,Posted: September 29
6307,very good. Only negative is bad lip sync for english voice over,Recommended,52,58.8 hrs on record,Posted: September 29
6308,nnnnnnnnnnnn,Recommended,12,73.1 hrs on record,Posted: September 29
6309,just wow,Recommended,7,108.0 hrs on record,Posted: September 29
6310,the game is awesome.,Recommended,17,54.6 hrs on record,Posted: September 29
6311,"Beautiful visual and fun combat, a bit overwhelming sometimes, need an easy mode.",Recommended,69,43.0 hrs on record,Posted: September 29
6312,so far it has been a great experience.The game is beautiful graphically and its fun and challenging at the same time. Im still on chapter two but i feel like im for sure gunna get my moneys worth for this one.,Recommended,169,36.1 hrs on record,Posted: September 29
6313,"This game is amazing in almost every aspect. The gameplay and mechanics are refreshing and fun. I ran the game at medium settings, 1440p on an RTX 4060, and consistently got a solid 100 fps. The optimization is well-done.The highlight for me is the combat, which feels fresh. Some bosses in this game adapt to your playstyle. If you find a cheesy way to beat a boss, it won't always work—certain bosses will counter your strategies at every turn and end up giving you a tough challenge. There's plenty of content too, with around 90 bosses, which will likely take 50-70 hours of gameplay. The story is good and interesting, although I found it a bit confusing at first since I wasn’t familiar with ""The Monkey’s Journey to the West."" However, after watching a couple of YouTube videos, everything became clear.Now, for the other side of this game: the difficulty. If you're looking to relax while playing, this is not the game for you—at least, that's how I felt. It truly tests your patience. This game has only one difficulty level. You’ll need to learn enemy moves and counter them, which is rewarding, but if you're aiming to relax, it might feel more frustrating than fun. Personally, I found it traumatizing when i went for the newgame+ mode and eventually stopped playing. Maybe it’s just me—some people love replaying games like this.Overall, it's a solid game with great story and gameplay.",Recommended,1159,62.7 hrs on record,Posted: September 29
6314,BEST GAME EVER,Recommended,12,32.5 hrs on record,Posted: September 29
6315,Monke go bonk,Recommended,11,17.3 hrs on record,Posted: September 29
6316,Product received for free* Graphics : 9.8/10* Physics : 8/10* Story : 7/10* Combat : 9.5/10* Skill progression 9.8/10,Recommended,99,73.3 hrs on record,Posted: September 29
6317,This game is absolutely one of if not the best game of 2024. Left a lasting impression,Recommended,70,58.1 hrs on record,Posted: September 29
6318,"this very good game, very fun and I want kms because of duskveil",Recommended,52,38.7 hrs on record,Posted: September 29
6319,"I like when games surprise me and while I never expected it to be bad, the quality of the game ended up being higher than expected. Sure, it's not the best at anything it does but it's just such a well rounded package that I can't not recommend it. My biggest gripe with the game is it's image quality (not graphics) which is pretty poor and artifacty (unless you have a top tier pc). It embodies everything wrong with the image quality of modern games. Other than that there are tons of minor gripes that at the end of the day did not affect my opinion of the game that much. A solid 8/10.",Recommended,477,50.1 hrs on record,Posted: September 29
6320,Just amazing!,Recommended,12,80.1 hrs on record,Posted: September 29
6321,"Best game ive played in 2024. Hard bosses sometimes, but only ""soul""game ive evr finished 10/10.",Recommended,81,60.7 hrs on record,Posted: September 29
6322,Amazing Game Well Made,Recommended,19,60.5 hrs on record,Posted: September 29
6323,Excellen!,Recommended,9,48.7 hrs on record,Posted: September 29
6324,erlang makes me want to scream racial slurs at my monitor,Recommended,47,34.6 hrs on record,Posted: September 29
6325,epic game,Recommended,8,150.2 hrs on record,Posted: September 29
6326,th,Recommended,2,60.7 hrs on record,Posted: September 29
6327,.,Recommended,1,11.8 hrs on record,Posted: September 29
6328,Perfect !!! 11/10,Recommended,15,94.6 hrs on record,Posted: September 29
6329,"Truly love the graphics , storyline if you know the backstory of Sun Wukong and the gameplay . I admit , it very hard for me to play 3rd person game while needing the time the dodging and attack actions but this kind of challenge makes me want to play it even more .this is my 2nd copy of Black Myth - Wukong .. after i bought the PS5 version of it and got hooked . PC version is the way to go for absolute eye candies fest for your visual enjoyment . this is truly the GOTY 2024 for me personally .",Recommended,397,16.6 hrs on record,Posted: September 29
6330,"game of the year, stay mad ign",Recommended,24,70.5 hrs on record,Posted: September 29
6331,so fireee broo omg,Recommended,15,56.0 hrs on record,Posted: September 29
6332,Monkey Magic,Recommended,11,107.0 hrs on record,Posted: September 29
6333,awesome game,Recommended,11,19.4 hrs on record,Posted: September 29
6334,"Monke go bonk. With a cool soundtrack, beautiful visuals and great story.",Recommended,62,46.7 hrs on record,Posted: September 29
6335,Great game.,Recommended,10,65.5 hrs on record,Posted: September 29
6336,This is definitely my game of the year. Its such a fun and challenging game. MUST BUY!!!,Recommended,72,75.7 hrs on record,Posted: September 29
6337,Look at me. LOOKATME!I.AM.THE.MONKEY.NOW!,Recommended,38,143.3 hrs on record,Posted: September 29
6338,vey fun but bosses are hard,Recommended,22,31.4 hrs on record,Posted: September 29
6339,伟大，无需多言!,Recommended,8,15.8 hrs on record,Posted: September 29
6340,A lower difficult beautiful souls-inspired game. Must play.,Recommended,52,36.6 hrs on record,Posted: September 29
6341,Insane,Recommended,6,70.1 hrs on record,Posted: September 29
6342,First souls-like that I ever finished,Recommended,32,86.1 hrs on record,Posted: September 29
6343,This was an amazing game. The combat and story were both great. Highly recommend giving this game a try.,Recommended,86,88.8 hrs on record,Posted: September 29
6344,monkey fight monkey cool monkey fun,Recommended,30,62.9 hrs on record,Posted: September 29
6345,had no issues with the game. Loved the story. Exploring was not one of my favorite things about the game since you can easily miss things that are useful or interesting. But all in all had an amazing time with the game.,Recommended,178,69.0 hrs on record,Posted: September 29
6346,exciting game...more like god of war with elder ring and skyrim mixed. u re the boss,Recommended,69,3.7 hrs on record,Posted: September 29
6347,good game,Recommended,8,90.7 hrs on record,Posted: September 29
6348,"The years waiting were well worth it. This game is perfect, the graphics, the combat, the atmosphere, the story, the music, everything. This game does great justice to one of my favorite fictional characters ever. Just know when getting the game, at least a little knowledge of Sun Wukong/journey to the west is recommended. This game Will be GOTY.",Recommended,290,87.8 hrs on record,Posted: September 29
6349,"At first no interest in this game but decided to try it after watching some gameplay videos.To be honest, this is one of the games that not only make me play until the end but also make me want to replay it again (which unfortunately I don’t due to the lack of time…)The difficulty for this game is not easy but not too hard as well (Maybe not the case for the final hidden boss and final boss).If you like the story of ‘The Journey to the West’, I think you will like this game!",Recommended,385,53.7 hrs on record,Posted: September 29
6350,"First run ""♥♥♥♥ I missed secret quest""NG run ""♥♥♥♥ I missed spirits""NG+ run ""♥♥♥♥ I missed armor""10/10 Must play again",Recommended,99,102.5 hrs on record,Posted: September 29
6351,GOTY,Recommended,4,51.0 hrs on record,Posted: September 29
6352,11/10,Recommended,5,35.7 hrs on record,Posted: September 29
6353,10/10,Recommended,5,15.5 hrs on record,Posted: September 29
6354,"beware bald people, they will go after you with murderous rage.+beware more bald people. continued murderous rage ahead11/10 game+12/10 game",Recommended,121,14.3 hrs on record,Posted: September 29
6355,"I do not like difficult games. Because my purpose of playing games is to relax my brain, And BLACK MYTH WUKONG is a difficult game for me. But it gives me fun, pleasure and relaxes my brain.",Recommended,154,149.3 hrs on record,Posted: September 29
6356,Very good,Recommended,8,12.6 hrs on record,Posted: September 29
6357,game,Recommended,4,28.7 hrs on record,Posted: September 29
6358,"The game almost made me refund after being stuck in the early stages of chapter one. Encountered white clad noble and wasn't able to proceed forward in it. Thought the entire game is going to be as linear as this. BUT I PERSEVERED and the game opens up in chapter 2 and it gets better! Every chapter I'm looking forward to discovering the land, encountering new bosses, THE DETAILS ON EVERYTHING. It's a game that grows on you and I feel this game deserves to be nominated for GOTY (though they should really redo the first chapter and make it less linear)",Recommended,455,58.9 hrs on record,Posted: September 29
6359,"The story is just ok, but the rest of the game, the combat, the art and cinematics, the free roam challenge of not knowing where the ♥♥♥♥ to go, was actually great!Pros:Stunning GraphicsGreat combatExploration while unguided feels rewardingCons:Story is......well its not great, thats the nicest way I can say it.Level designs while great visually, layouts arent the best for a soulslike gameStory: 4.5Gameplay: 9.5Graphics / Visuals: 9.5Audio: 9Overal value for money: 98.3/10",Recommended,406,40.2 hrs on record,Posted: September 29
6360,Enjoying the game so much.100 times better than any souls games.,Recommended,54,83.0 hrs on record,Posted: September 29
6361,I'm keeping an eye out for Game Science from now on. I hope they become a Chinese FromSoftware making consistently legendary games.,Recommended,110,40.7 hrs on record,Posted: September 29
6362,"Fun and enjoyment time , you will like graphics and style of fights But need to farm to level up a lot",Recommended,81,54.0 hrs on record,Posted: September 29
6363,"top notch story, graphics, gameplay.",Recommended,32,70.7 hrs on record,Posted: September 29
6364,nice,Recommended,4,23.4 hrs on record,Posted: September 29
6365,yes i like,Recommended,8,40.2 hrs on record,Posted: September 29
6366,BS GAME CRASH MY 4060,Not Recommended,17,74.3 hrs on record,Posted: September 29
6367,This game is pure art.,Recommended,18,103.8 hrs on record,Posted: September 29
6368,"Monkey game, huh ? Chinese folk story, huh ?? A monkey that fights big bosses with just a stick that he pulls from his ear ??? LET's GO!",Recommended,109,23.6 hrs on record,Posted: September 29
6369,yup,Recommended,3,48.3 hrs on record,Posted: September 29
6370,"great game , if they done better at limiting the invisible walls it could have been game of the decade",Recommended,83,71.7 hrs on record,Posted: September 29
6371,W game,Recommended,5,52.5 hrs on record,Posted: September 29
6372,monke,Recommended,5,54.1 hrs on record,Posted: September 29
6373,Changed my life!!!!!!! so good i literal cried when i got to witness vid eat his father :),Not Recommended,73,18.9 hrs on record,Posted: September 29
6374,Fun but your character is very weak at the beginning phase of the game. Some of the bosses are pretty tough and have multiple forms.,Recommended,108,151.7 hrs on record,Posted: September 29
6375,Bazinga,Recommended,7,6.6 hrs on record,Posted: September 29
6376,Beautiful mix of souls game and God of War. 9.5/10,Recommended,41,37.4 hrs on record,Posted: September 29
6377,monkeh,Recommended,6,97.5 hrs on record,Posted: September 29
6378,the best game 2024,Recommended,15,108.1 hrs on record,Posted: September 29
6379,"Games graphics are really nice throughout the stages ive completed. The combat feels smooth and clean and along with the unique bosses and enemies in each stage, it doesnt feel too much like a boss rush game where normal enemies are a drag and something to skip. Would highly recommend this game",Recommended,244,35.6 hrs on record,Posted: September 29
6380,game gud. me play game. me unga bunga. u unga bunga too.,Recommended,45,33.3 hrs on record,Posted: September 29
6381,it was a great journeygame of the year i think,Recommended,37,87.6 hrs on record,Posted: September 29
6382,very good,Recommended,8,57.6 hrs on record,Posted: September 29
6383,PLuh,Recommended,4,449.2 hrs on record,Posted: September 29
6384,its a cool game. try it out for yourself.,Recommended,33,21.5 hrs on record,Posted: September 29
6385,"Stunning graphics, amazing game-play, and challenging AF. A+++++",Recommended,57,47.8 hrs on record,Posted: September 29
6386,One of the best game I've ever played. Living my childhood Journey to the West and now I got to play as Wukong himself.,Recommended,96,50.9 hrs on record,Posted: September 29
6387,goty,Recommended,4,40.7 hrs on record,Posted: September 29
6388,This game is def GOATED for 2024; a true action RPG based on the tale as old as time. Was not expecting this level of detail and fidelity from an unknown developer!Expecting more content in form of DLC and future titles as well.,Recommended,186,54.0 hrs on record,Posted: September 29
6389,"Most of the game is fun, of course, there are some downsides to the fairness of certain battles but I have fun fighting the bosses. In my opinion, the dodge mechanics feel nice and most of the time I do not feel as if the game unfairly broke one of my arms before a boss fight or that they overcrowded any areas of the game with cheap enemies, which made this game my number one for this year.",Recommended,316,55.9 hrs on record,Posted: September 29
6390,Hard but satisfying. I've never played a souls-like game and i'm very into this one so far.,Recommended,75,6.8 hrs on record,Posted: September 29
6391,Very well designed game with astonishing details of graphics. Best game based on Chinese culture.,Recommended,83,150.9 hrs on record,Posted: September 29
6392,Graphics 10/10Gameplay 10/10Combat 10/10Movement 10/10UI 9/10 there is NO Map...at all,Recommended,76,60.0 hrs on record,Posted: September 29
6393,peak ong,Recommended,7,5.5 hrs on record,Posted: September 29
6394,GOATED,Recommended,6,28.5 hrs on record,Posted: September 29
6395,im the monkey king,Recommended,15,20.7 hrs on record,Posted: September 29
6396,"75+ hours in and I've got nothing but compliments. I could nit-pick a couple of things, but they pale in comparison to the overall package of what this game is....and that is boat-loads of fun.",Recommended,159,113.4 hrs on record,Posted: September 29
6397,"excellent game play and rich content, boss encounters can be difficult",Recommended,60,150.8 hrs on record,Posted: September 29
6398,Me likey,Recommended,7,19.5 hrs on record,Posted: September 29
6399,"9/10 - One of the best action RPGs i've ever played. Even though the last chapters look rushed it is a must buy.Pros- Visuals are amazing- Rooted in Chinese mythology (Journey to the West), which is fresh compared to most Western RPGs- Combat is a 10/10- A lot of customization: builds, stances, spells- World-building is top-notch- AthmosphericCons:- The last two chapters feel a bit rushed and lose quality compared to the others.- Occasional non-game-breaking bugs- Overuse of invisible walls- Monkeh does not speak :(",Recommended,438,70.3 hrs on record,Posted: September 29
6400,This game is challenging and fun,Recommended,27,87.7 hrs on record,Posted: September 29
6401,it good :steamthumbsup:,Recommended,21,11.0 hrs on record,Posted: September 29
6402,best release 2024 so far!!!,Recommended,23,106.1 hrs on record,Posted: September 29
6403,I loved this game so much. For this being this studio's first AAA title they really exceeded everyone's expectations. :),Recommended,101,46.4 hrs on record,Posted: September 29
6404,Holy crap great game,Recommended,17,50.4 hrs on record,Posted: September 29
6405,"Amazing game, lots of monkey stuff.",Recommended,30,18.8 hrs on record,Posted: September 29
6406,Graphics look amazing,Recommended,19,47.4 hrs on record,Posted: September 29
6407,I feel like there is an issue with unresponsive controls for some people and not for others. Sometimes I don't notice any UI issues and other times I get really bad UI lag and unresponsive controls. It's very frustrating at times when there FPS drop to have no control. Hope there is an update that address this.,Not Recommended,256,13.0 hrs on record,Posted: September 29
6408,"do you know why you dont give enemies a delays explosion that is larger than the dodge area?its just ♥♥♥♥ game design. dodge the hit? well, ♥♥♥♥ you on a bamboo pole anyway.while i often tote DS3 as being my favorite dark souls game, there is one thing i truly, utterly despise about it.YOU HAVE NOT SEEN MY TRUE FORM YET MORTALblah ♥♥♥♥♥♥♥ blah. shut the ♥♥♥♥ up and just die when i delete your healthbar.i DESPISE that every ♥♥♥♥ and wanker has to have a second form. not because its 'hard', but because its the cheapest way to add 'difficulty'. and what does it cheapen, if its still not ""hard""? the experience, and the boss itself. im not scared when a boss, thats literally ♥♥♥♥♥♥♥ dead, gets back up and UNSKIPPABLE CUTSCENE MONOLOGS at me. i groan in frustration and just alt-f4 because i seriously ♥♥♥♥♥♥♥ dont care.can we just skip the ♥♥♥♥♥♥♥♥ and get to the actual fight? can we skip the ♥♥♥♥♥♥♥♥ and not waste time? you are wasting dev time. im wasting gaming time. and it SERIOUSLY PISSES ME OFF.i spend 20 minutes learning the everything of the first phase, but shocker, there is a second phase to waste time on. the real reason ♥♥♥♥ devs do this? to pad out game time. thats it. second phase boss fights exist purely to pad game time. because, lets face it, if devs were actually good at game deving they would simply make a one phase boss actually, i dunno, hard? never would have crossed my mind. one phase bosses being HARD? thats absured! no, we must waste our players time, forcing them to near-perfect master the first phase, so they can ACTUALLY fight the boss! yes, thats a much better idea. we could double or tripple our play time doing that!and finally, my ultimate sin for this ♥♥♥♥ game? the game makes it EXTREMELY, PAINFULLY, OBVIOUS from the beginning that there is crafting in the game. but doles it out so ♥♥♥♥♥♥♥ slowly, whats the point of adding it?im not asking to craft ultimate gear right from hour one. im ♥♥♥♥♥♥♥ asking ""what the ♥♥♥♥ is this ♥♥♥♥ iv been picking up that has no ♥♥♥♥♥♥♥ uses? why do i have 99 of snake head mushrooms and no way to use them!?"" 5 bosses later finally ♥♥♥♥♥♥♥ unlocking a BASIC ♥♥♥♥♥♥♥ POTION ""oh, thats what its for. too bad its USELESS FOR ME NOW""",Not Recommended,1814,5.7 hrs on record,Posted: September 29
6409,"I will be straightforward about this game. It is soul-like no doubt, but the mechanics are similar to an RPG where there is a skill tree and such. The combat is nice as we are given some options on how to fight, however improvement can still be made. For example, each stance could give a unique light attack instead of just a unique varied combo and heavy attack.But I have to say the game is still very enjoyable on a story level. Boss mechanics are enjoyable, it provide challenge, yes but you can still overcome them by learning the bosses patterns and tailor a fighting style which is comfortable to you.",Recommended,499,84.1 hrs on record,Posted: September 29
6410,Monky got swager and moves like Jagger. Oiiiiiiiiii!,Recommended,45,101.9 hrs on record,Posted: September 29
6411,very sad story. .. on chapter 4,Recommended,25,52.3 hrs on record,Posted: September 29
6412,Love it soooooo much. Great gameplay and culturally immersive experience to learn more about it.,Recommended,82,140.5 hrs on record,Posted: September 29
6413,赶紧出DLC，等不及了。。。,Recommended,14,78.8 hrs on record,Posted: September 29
6414,dub,Recommended,3,99.4 hrs on record,Posted: September 29
6415,GOTY,Recommended,4,54.6 hrs on record,Posted: September 29
6416,Great game play...Very excited to get through the story,Recommended,47,26.5 hrs on record,Posted: September 29
6417,Monke,Recommended,5,21.7 hrs on record,Posted: September 29
6418,"So far I'm loving the game and it's quickly become my favorite game, I can't stop playing it when I'm able to and I highly recommend it, Though I have heard that it's slightly harder than some of the Soul games from friends and other people and I see why with some of the boss fights, but none the less it's an overall good game.",Recommended,265,24.7 hrs on record,Posted: September 29
6419,"Black Myth: Wukong is a visually stunning and immersive experience that brings Chinese mythology to life with incredible detail. The combat is fluid, challenging, and rewarding, blending classic action RPG elements with fresh mechanics. The game's world is rich with lore and beautifully crafted, making exploration feel exciting and engaging. If you're a fan of mythological storytelling and action-packed gameplay, Black Myth: Wukong is a must-play!",Recommended,386,52.3 hrs on record,Posted: September 29
6420,Masterpiece.,Recommended,12,71.4 hrs on record,Posted: September 29
6421,Yeah its worth the hype.,Recommended,20,104.4 hrs on record,Posted: September 29
6422,Best game in 2024,Recommended,14,27.9 hrs on record,Posted: September 29
6423,yes,Recommended,3,55.6 hrs on record,Posted: September 29
6424,LOVELY!!!,Recommended,9,50.0 hrs on record,Posted: September 29
6425,Pure cinema,Recommended,10,32.0 hrs on record,Posted: September 29
6426,good game.,Recommended,9,77.6 hrs on record,Posted: September 29
6427,"I know I'm going against the grain on this one, but it's just WAY too hard to pick up and play this game. It is beautiful, and has a great soundtrack, that much I'll give it, but overall it's just too much to try and enjoy. If you like the Souls or Soulslike games, you'll love this one. If you're like me and you don't, avoid it.",Not Recommended,264,5.1 hrs on record,Posted: September 29
6428,"Genuinely one of the most enjoyable games Iv played in years. Im not versed in Chinese mythology and was very interested in the story and design of everything. This game has a plethora of bosses which was very welcoming. Tons of difficult bosses, and man the move sets on some of the bosses are immaculate, Erlang was actual cinema. Will be back around if/when DLC comes out. GOTY worthy forsure. 10/10",Recommended,332,64.1 hrs on record,Posted: September 29
6429,"Honestly, in my short venture so far, I've found myself in awe about how just *fun* this game is!!I'm absolutely blown away by the visuals, the combat is nice and tight, the balance between Elden Ring and DMC here is masterfully done.I can't recommend this game enough if you're a fan of either Souls games, or DMC!looking forward to continuing to chew through this one!",Recommended,306,5.1 hrs on record,Posted: September 29
6430,One of my games of the year and one of the best games I've played in 2024.,Recommended,58,119.9 hrs on record,Posted: September 29
6431,gud,Recommended,3,80.2 hrs on record,Posted: September 29
6432,"Been playing for very long time, currently in NG+ and finally get full achievement. This is the GOTY & with some flaw that you can tell the dev is new and lack of experiences. The wall & route in the game definitely is pain in the a** but it can stop me to playing it because I have some much fun and excited to boss rush and enjoy the action in the game. My most enjoyable moment is after the epic fight with final boss you will be rewarded with a high quality animation cut scene to explain or elaborate the game story. This is a game where you can feel the game dev is making a good game, not just a game looks cool but bored to play.",Recommended,509,174.6 hrs on record,Posted: September 29
6433,exiting,Recommended,7,71.4 hrs on record,Posted: September 29
6434,♥♥♥♥♥♥ Great!!!,Recommended,14,70.7 hrs on record,Posted: September 29
6435,amazing graphics great story and game play,Recommended,36,67.4 hrs on record,Posted: September 29
6436,masterpiece my gf hates when i spend too much time on this game its so good,Recommended,60,59.4 hrs on record,Posted: September 29
6437,"Combat is very fluid and easy to get the hang of, graphics are insane and there's lots to explore. The more exploring that is done, the more you are rewarded so its definitely worth it.",Recommended,151,45.1 hrs on record,Posted: September 29
6438,The game gets better with each chapter. The fighting style is different you're able to grasp it quickly. The abilities to use against the boss battles bring something new to the genre which makes you want to keep playing.,Recommended,183,35.7 hrs on record,Posted: September 29
6439,GOTY,Recommended,4,111.2 hrs on record,Posted: September 29
6440,Game of the year monkey with heavy stick.,Recommended,34,131.3 hrs on record,Posted: September 29
6441,fun souls like game,Recommended,16,41.1 hrs on record,Posted: September 29
6442,"This game is overall, an amazing bit of work. There are some things that could be done better, removal of invisible walls or unification of what has the guide-rails/invisible walls, e.g. Chapters 1 and 2, you can't really fall to your death, chapter 3....The combat is amazing and the bosses are varied. Will this tell you the story of Journey to the West, no, it will confuse you, but there is a part of the narrative there. This game was targeted, I believe, at an audience familiar with the work, with a little more depth than the Japanese TV series, Monkey (AKA Monkey Magic) from 1978, yet I'm still enjoying it, but I suspect that there are those out there doing a little more research, learning more about Sun Wukong.Other than the story and fighting, the visuals are amazing, animations flow the scenery, weapons and armour are all fantastic. Characters and creatures look brilliant and are all supported by amazing audio. Ignoring the music, the atmosphere and combat sounds are excellent, I have yet to notice any glaring flaws, heck, even small ones.Music, normally I mute the music in games after a while, not because it is bad or does not match the gameplay, although that is in fact the reason I started doing it. Yes, I normally do this, but in Wukong, I have the music there, and it is brilliant. I'm just surprised at how good it is, especially when you look at the developer, this is their first major title, and their first game fully released. Oh and I have to say, I absolutely love the Headless Monks songs, that guy needs to get into a studio and record more stuff and upload it,So what else does the game do well, almost everything, but the best one is that the game, and the developers do not pander. They ignore all the DEI stupidity, and even better ignore all the so called ""games journalists"". A lot of western game developers and TV/Movie creators should take note. Make the game/series/movie, don't worry about everything else, not everything needs to be Concord levels of woke (aka broke) ;PWukong (and Space Marine 2), show that making a game and staying true to a vision works better than pandering. Wukong also shows how much ""games journalists"" actually play games or even like them as a medium.Firstly they think that a google translation is absolutely flawless and take it as fact, demand answers for google's incorrect translation. Even when admitting the mistake after thousands of people point out how wrong they are, they, the ""game journalists"" still demand the answers for the now known incorrect translation... What part of journalism is this? Oh yeah, right, i forgot, they all went to the Fox News school of journalism, don't let the facts get in your way just lie through it.Secondly, a lot criticised the game for not having diversity, even though there are humans, monkeys, snakes, turtles, wolves, foxes, frogs..... you get the picture, then they said that there are no women, I would just point out there are in fact women in the game, the first one is shown in a clip in Chapter 2, and you fight one in Chapter 3, never mind Chapters 4,5 and 6. So these ""games journalists"" have not even played the game they are critiquing.Anyways I'm taking my time at this game, so I'm heading back in, and one other thing, there will be points you hate the game, but once you kill that boss you will fall right back in love.Amazing game I look forward to all future Game Science releases, if they keep the standard and sticking to their ethics they have a long and bright future. This is .",Recommended,2905,141.3 hrs on record,Posted: September 29
